,team_name,href,id,year,league_id
2,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826/saison_id/2018,23826,2018,1
3,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15/saison_id/2018,15,2018,1
4,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2018,533,2018,1
5,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24/saison_id/2018,24,2018,1
6,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18/saison_id/2018,18,2018,1
7,VfL Wolfsburg,/vfl-wolfsburg/startseite/verein/82/saison_id/2018,82,2018,1
8,FC Schalke 04,/fc-schalke-04/startseite/verein/33/saison_id/2018,33,2018,1
9,Hertha BSC,/hertha-bsc/startseite/verein/44/saison_id/2018,44,2018,1
10,SV Werder Bremen,/sv-werder-bremen/startseite/verein/86/saison_id/2018,86,2018,1
11,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39/saison_id/2018,39,2018,1
12,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79/saison_id/2018,79,2018,1
13,FC Augsburg,/fc-augsburg/startseite/verein/167/saison_id/2018,167,2018,1
14,SC Freiburg,/sc-freiburg/startseite/verein/60/saison_id/2018,60,2018,1
15,Fortuna Düsseldorf,/fortuna-dusseldorf/startseite/verein/38/saison_id/2018,38,2018,1
16,Hannover 96,/hannover-96/startseite/verein/42/saison_id/2018,42,2018,1
17,1.FC Nuremberg,/1-fc-nurnberg/startseite/verein/4/saison_id/2018,4,2018,1
0,Bayern Munich,/fc-bayern-munchen/startseite/verein/27/saison_id/2019,27,2019,1
1,Borussia Dortmund,/borussia-dortmund/startseite/verein/16/saison_id/2019,16,2019,1
2,RB Leipzig,/rasenballsport-leipzig/startseite/verein/23826/saison_id/2019,23826,2019,1
3,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15/saison_id/2019,15,2019,1
4,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18/saison_id/2019,18,2019,1
5,TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2019,533,2019,1
6,FC Schalke 04,/fc-schalke-04/startseite/verein/33/saison_id/2019,33,2019,1
7,Hertha BSC,/hertha-bsc/startseite/verein/44/saison_id/2019,44,2019,1
8,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24/saison_id/2019,24,2019,1
9,VfL Wolfsburg,/vfl-wolfsburg/startseite/verein/82/saison_id/2019,82,2019,1
